"timestamp","source","message"
"2023-05-24T10:52:31.616Z","192.168.72.173","<190>May 24 15:22:32 external-api-gateway ext_api_nginx_access_log: { ""nginx_timestamp"": ""2023-05-24T15:22:32+04:30"", ""remote_addr"": ""192.168.72.221"", ""connection"": ""160184279"", ""connection_requests"": 173, ""pipe"": ""."", ""body_bytes_sent"": 107, ""request_length"": 810, ""request_time"": 2.004, ""response_status"": 503, ""request"": ""POST /api/v1/notification/send HTTP/1.1"", ""request_method"": ""POST"", ""host"": ""easypay-192-168-72-51-7702.extapi.tasn.ir"", ""upstream_cache_status"": """", ""upstream_addr"": ""192.168.72.51:7702"", ""upstream_status"": ""503"", ""time_local"": ""24/May/2023:15:22:32 +0430"", ""upstream_connect_time"": ""0.000"", ""upstream_header_time"": ""2.004"", ""http_x_forwarded_for"": """", ""http_referrer"": """", ""http_user_agent"": ""Go-http-client/1.1"", ""http_version"": ""HTTP/1.1"", ""remote_user"": ""asansaaz"", ""http_x_forwarded_proto"": """", ""upstream_response_time"": ""2.004"", ""nginx_access"": true, ""external_api_log"": true }"
"2023-05-24T10:52:32.546Z","192.168.72.174","<190>May 24 15:22:33 external-api-gateway ext_api_nginx_access_log: { ""nginx_timestamp"": ""2023-05-24T15:22:33+04:30"", ""remote_addr"": ""192.168.72.228"", ""connection"": ""162753289"", ""connection_requests"": 118, ""pipe"": ""."", ""body_bytes_sent"": 107, ""request_length"": 810, ""request_time"": 2.003, ""response_status"": 503, ""request"": ""POST /api/v1/notification/send HTTP/1.1"", ""request_method"": ""POST"", ""host"": ""easypay-192-168-72-51-7702.extapi.tasn.ir"", ""upstream_cache_status"": """", ""upstream_addr"": ""192.168.72.51:7702"", ""upstream_status"": ""503"", ""time_local"": ""24/May/2023:15:22:33 +0430"", ""upstream_connect_time"": ""0.004"", ""upstream_header_time"": ""2.004"", ""http_x_forwarded_for"": """", ""http_referrer"": """", ""http_user_agent"": ""Go-http-client/1.1"", ""http_version"": ""HTTP/1.1"", ""remote_user"": ""asansaaz"", ""http_x_forwarded_proto"": """", ""upstream_response_time"": ""2.004"", ""nginx_access"": true, ""external_api_log"": true }"
"2023-05-24T10:52:33.621Z","192.168.72.173","<190>May 24 15:22:34 external-api-gateway ext_api_nginx_access_log: { ""nginx_timestamp"": ""2023-05-24T15:22:34+04:30"", ""remote_addr"": ""192.168.72.221"", ""connection"": ""160184279"", ""connection_requests"": 174, ""pipe"": ""."", ""body_bytes_sent"": 107, ""request_length"": 810, ""request_time"": 2.004, ""response_status"": 503, ""request"": ""POST /api/v1/notification/send HTTP/1.1"", ""request_method"": ""POST"", ""host"": ""easypay-192-168-72-51-7702.extapi.tasn.ir"", ""upstream_cache_status"": """", ""upstream_addr"": ""192.168.72.51:7702"", ""upstream_status"": ""503"", ""time_local"": ""24/May/2023:15:22:34 +0430"", ""upstream_connect_time"": ""0.000"", ""upstream_header_time"": ""2.004"", ""http_x_forwarded_for"": """", ""http_referrer"": """", ""http_user_agent"": ""Go-http-client/1.1"", ""http_version"": ""HTTP/1.1"", ""remote_user"": ""asansaaz"", ""http_x_forwarded_proto"": """", ""upstream_response_time"": ""2.004"", ""nginx_access"": true, ""external_api_log"": true }"
"2023-05-24T11:18:24.451Z","192.168.72.139","<190>May 24 15:48:24 external-api-gateway ext_api_nginx_access_log: { ""nginx_timestamp"": ""2023-05-24T15:48:24+04:30"", ""remote_addr"": ""192.168.72.230"", ""connection"": ""153751722"", ""connection_requests"": 3, ""pipe"": ""."", ""body_bytes_sent"": 124, ""request_length"": 693, ""request_time"": 9.002, ""response_status"": 503, ""request"": ""POST /SubscriberInfoEjbApp/SubscriberInfoWS/SubscriberInfoBean HTTP/1.1"", ""request_method"": ""POST"", ""host"": ""subscriber-192-168-72-51-8080.extapi.tasn.ir"", ""upstream_cache_status"": """", ""upstream_addr"": ""192.168.72.51:8080"", ""upstream_status"": ""503"", ""time_local"": ""24/May/2023:15:48:24 +0430"", ""upstream_connect_time"": ""0.000"", ""upstream_header_time"": ""9.004"", ""http_x_forwarded_for"": """", ""http_referrer"": """", ""http_user_agent"": ""JAX-WS RI 2.2.9-b130926.1035 svn-revision#5f6196f2b90e9460065a4c2f4e30e065b245e51e"", ""http_version"": ""HTTP/1.1"", ""remote_user"": """", ""http_x_forwarded_proto"": """", ""upstream_response_time"": ""9.004"", ""nginx_access"": true, ""external_api_log"": true }"
"2023-05-24T11:18:29.610Z","192.168.72.139","<190>May 24 15:48:30 external-api-gateway ext_api_nginx_access_log: { ""nginx_timestamp"": ""2023-05-24T15:48:30+04:30"", ""remote_addr"": ""192.168.72.224"", ""connection"": ""153745344"", ""connection_requests"": 42, ""pipe"": ""."", ""body_bytes_sent"": 107, ""request_length"": 341, ""request_time"": 9.004, ""response_status"": 503, ""request"": ""POST /api/charge/getlist HTTP/1.1"", ""request_method"": ""POST"", ""host"": ""charge-192-168-72-51-8084.extapi.tasn.ir"", ""upstream_cache_status"": """", ""upstream_addr"": ""192.168.72.51:8084"", ""upstream_status"": ""503"", ""time_local"": ""24/May/2023:15:48:30 +0430"", ""upstream_connect_time"": ""0.004"", ""upstream_header_time"": ""9.004"", ""http_x_forwarded_for"": """", ""http_referrer"": """", ""http_user_agent"": ""unirest-java/3.1.00"", ""http_version"": ""HTTP/1.1"", ""remote_user"": """", ""http_x_forwarded_proto"": """", ""upstream_response_time"": ""9.004"", ""nginx_access"": true, ""external_api_log"": true }"
"2023-05-24T11:19:30.168Z","192.168.72.139","<190>May 24 15:49:30 external-api-gateway ext_api_nginx_access_log: { ""nginx_timestamp"": ""2023-05-24T15:49:30+04:30"", ""remote_addr"": ""192.168.72.224"", ""connection"": ""153752811"", ""connection_requests"": 60, ""pipe"": ""."", ""body_bytes_sent"": 107, ""request_length"": 341, ""request_time"": 9.004, ""response_status"": 503, ""request"": ""POST /api/charge/getlist HTTP/1.1"", ""request_method"": ""POST"", ""host"": ""charge-192-168-72-51-8084.extapi.tasn.ir"", ""upstream_cache_status"": """", ""upstream_addr"": ""192.168.72.51:8084"", ""upstream_status"": ""503"", ""time_local"": ""24/May/2023:15:49:30 +0430"", ""upstream_connect_time"": ""0.000"", ""upstream_header_time"": ""9.000"", ""http_x_forwarded_for"": """", ""http_referrer"": """", ""http_user_agent"": ""unirest-java/3.1.00"", ""http_version"": ""HTTP/1.1"", ""remote_user"": """", ""http_x_forwarded_proto"": """", ""upstream_response_time"": ""9.000"", ""nginx_access"": true, ""external_api_log"": true }"
"2023-05-24T11:19:30.178Z","192.168.72.173","<190>May 24 15:49:30 external-api-gateway ext_api_nginx_access_log: { ""nginx_timestamp"": ""2023-05-24T15:49:30+04:30"", ""remote_addr"": ""192.168.72.230"", ""connection"": ""160576053"", ""connection_requests"": 77, ""pipe"": ""."", ""body_bytes_sent"": 107, ""request_length"": 341, ""request_time"": 9.012, ""response_status"": 503, ""request"": ""POST /api/charge/getlist HTTP/1.1"", ""request_method"": ""POST"", ""host"": ""charge-192-168-72-51-8084.extapi.tasn.ir"", ""upstream_cache_status"": """", ""upstream_addr"": ""192.168.72.51:8084"", ""upstream_status"": ""503"", ""time_local"": ""24/May/2023:15:49:30 +0430"", ""upstream_connect_time"": ""0.000"", ""upstream_header_time"": ""9.012"", ""http_x_forwarded_for"": """", ""http_referrer"": """", ""http_user_agent"": ""unirest-java/3.1.00"", ""http_version"": ""HTTP/1.1"", ""remote_user"": """", ""http_x_forwarded_proto"": """", ""upstream_response_time"": ""9.012"", ""nginx_access"": true, ""external_api_log"": true }"
